datetime,portfolio_value,cash,return
2024-02-01 09:30:00-05:00,100000.0,100000.0,
2024-02-02 09:30:00-05:00,100000.0,100000.0,0.0
2024-02-03 09:30:00-05:00,100000.0,100000.0,0.0
2024-02-05 09:30:00-05:00,100000.0,100000.0,0.0
2024-02-06 09:30:00-05:00,100000.0,100000.0,0.0
2024-02-07 09:30:00-05:00,100000.0,100000.0,0.0
2024-02-08 09:30:00-05:00,100000.0,100000.0,0.0
2024-02-09 09:30:00-05:00,100000.0,100000.0,0.0
2024-02-10 09:30:00-05:00,100000.0,100000.0,0.0
2024-02-12 09:30:00-05:00,100000.0,100000.0,0.0
2024-02-13 09:30:00-05:00,100000.0,100000.0,0.0
2024-02-14 09:30:00-05:00,100000.0,100000.0,0.0
2024-02-15 09:30:00-05:00,100000.0,100000.0,0.0
2024-02-16 09:30:00-05:00,100000.0,100000.0,0.0
2024-02-17 09:30:00-05:00,100000.0,100000.0,0.0
2024-02-20 09:30:00-05:00,100000.0,100000.0,0.0
2024-02-21 09:30:00-05:00,100000.0,100000.0,0.0
2024-02-22 09:30:00-05:00,100000.0,100000.0,0.0
2024-02-23 09:30:00-05:00,100000.0,100000.0,0.0
2024-02-24 09:30:00-05:00,100000.0,100000.0,0.0
2024-02-26 09:30:00-05:00,100000.0,100000.0,0.0
2024-02-27 09:30:00-05:00,100000.0,100000.0,0.0
2024-02-28 09:30:00-05:00,100000.0,100000.0,0.0
2024-02-29 09:30:00-05:00,100000.0,100000.0,0.0
2024-03-01 09:30:00-05:00,100000.0,100000.0,0.0
2024-03-02 09:30:00-05:00,100000.0,100000.0,0.0
2024-03-04 09:30:00-05:00,100000.0,100000.0,0.0
2024-03-05 09:30:00-05:00,100000.0,100000.0,0.0
2024-03-06 09:30:00-05:00,100000.0,100000.0,0.0
2024-03-07 09:30:00-05:00,100000.0,100000.0,0.0
2024-03-08 09:30:00-05:00,100000.0,100000.0,0.0
2024-03-09 09:30:00-05:00,100000.0,100000.0,0.0
2024-03-11 09:30:00-04:00,100000.0,100000.0,0.0
2024-03-12 09:30:00-04:00,100000.0,100000.0,0.0
2024-03-13 09:30:00-04:00,100000.0,100000.0,0.0
2024-03-14 09:30:00-04:00,100000.0,100000.0,0.0
2024-03-15 09:30:00-04:00,100000.0,100000.0,0.0
2024-03-16 09:30:00-04:00,100000.0,100000.0,0.0
2024-03-18 09:30:00-04:00,100000.0,100000.0,0.0
2024-03-19 09:30:00-04:00,100000.0,100000.0,0.0
2024-03-20 09:30:00-04:00,100000.0,100000.0,0.0
2024-03-21 09:30:00-04:00,100000.0,100000.0,0.0
2024-03-22 09:30:00-04:00,100000.0,100000.0,0.0
2024-03-23 09:30:00-04:00,100000.0,100000.0,0.0
2024-03-25 09:30:00-04:00,100000.0,100000.0,0.0
2024-03-26 09:30:00-04:00,100000.0,100000.0,0.0
2024-03-27 09:30:00-04:00,100000.0,100000.0,0.0
2024-03-28 09:30:00-04:00,100000.0,100000.0,0.0
2024-03-29 09:30:00-04:00,100000.0,100000.0,0.0
2024-04-01 09:30:00-04:00,100000.0,100000.0,0.0
2024-04-02 09:30:00-04:00,100000.0,100000.0,0.0
2024-04-03 09:30:00-04:00,100000.0,100000.0,0.0
2024-04-04 09:30:00-04:00,100000.0,100000.0,0.0
2024-04-05 09:30:00-04:00,100000.0,100000.0,0.0
2024-04-06 09:30:00-04:00,100000.0,100000.0,0.0
2024-04-08 09:30:00-04:00,100000.0,100000.0,0.0
2024-04-09 09:30:00-04:00,100000.0,100000.0,0.0
2024-04-10 09:30:00-04:00,100000.0,100000.0,0.0
2024-04-11 09:30:00-04:00,100000.0,100000.0,0.0
2024-04-12 09:30:00-04:00,100000.0,100000.0,0.0
2024-04-13 09:30:00-04:00,100000.0,100000.0,0.0
2024-04-15 09:30:00-04:00,100000.0,100000.0,0.0
2024-04-16 09:30:00-04:00,100000.0,100000.0,0.0
2024-04-17 09:30:00-04:00,100000.0,100000.0,0.0
